"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL215982";"";"0";"372.85";"0";"2.64";"5m";"C[C@H](NC(=O)[C@@H]1COC(=O)[C@H](Cc2ccc(Cl)cc2)N1)c1ccccc1";"IC50";"'='";"1610.0";"nM";"5.79";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL910266";"Ability to block calcium channel T type 3.1v expressed in HEK293 cells by whole cell patch clamp method";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148674";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"CHEMBL3307715";""
"CHEMBL558988";"";"0";"473.98";"0";"3.62";"4a";"CC1CCCCN1CCCNC(=O)c1ccc2c(c1)C(=O)N(Cc1ccc(F)cc1)C2=O.Cl";"IC50";"'='";"2030.0";"nM";"5.69";"";"";"UO_0000065";"13.01";"0.24";"2.07";"8.16";"0";"CHEMBL902474";"Inhibition of T-type calcium channel Cav3.1 expressed in HEK293 cells co-expressing alpha1G subunit and Kir2.1 potassium channel by patch-clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138411";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3307715";""
"CHEMBL535187";"";"0";"470.01";"0";"3.79";"4f";"Cc1cccc(CN2C(=O)c3ccc(C(=O)NCCCN4CCCCC4C)cc3C2=O)c1.Cl";"IC50";"'='";"1840.0";"nM";"5.74";"";"";"UO_0000065";"13.23";"0.24";"1.95";"8.23";"0";"CHEMBL902474";"Inhibition of T-type calcium channel Cav3.1 expressed in HEK293 cells co-expressing alpha1G subunit and Kir2.1 potassium channel by patch-clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138411";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3307715";""
"CHEMBL540376";"";"0";"490.43";"0";"4.13";"4c";"CC1CCCCN1CCCNC(=O)c1ccc2c(c1)C(=O)N(Cc1cccc(Cl)c1)C2=O.Cl";"IC50";"'='";"1810.0";"nM";"5.74";"";"";"UO_0000065";"12.65";"0.25";"1.61";"8.24";"0";"CHEMBL902474";"Inhibition of T-type calcium channel Cav3.1 expressed in HEK293 cells co-expressing alpha1G subunit and Kir2.1 potassium channel by patch-clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138411";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3307715";""
"CHEMBL536308";"";"0";"445.92";"0";"2.84";"4k";"Cl.O=C(NCCN1CCCCC1)c1ccc2c(c1)C(=O)N(Cc1ccc(F)cc1)C2=O";"IC50";"'='";"8880.0";"nM";"5.05";"";"";"UO_0000065";"12.34";"0.23";"2.21";"7.25";"0";"CHEMBL902474";"Inhibition of T-type calcium channel Cav3.1 expressed in HEK293 cells co-expressing alpha1G subunit and Kir2.1 potassium channel by patch-clamp assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138411";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3307715";""
"CHEMBL1819522";"";"0";"428.57";"1";"5.09";"20o";"CCC(CC)(CNC(=O)C1CCN(CCc2cccc(F)c2)CC1)c1ccc(F)cc1";"IC50";"'='";"130.0";"nM";"6.89";"";"";"UO_0000065";"16.07";"0.30";"1.80";"21.29";"0";"CHEMBL1821177";"Inhibition of human Cav3.1 alpha1G expressed in HEK293 cells assessed as inhibition of calcium influx by FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1817645";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3307715";""
"CHEMBL1819525";"";"0";"440.60";"0";"4.96";"20r";"CCC(CC)(CNC(=O)C1CCN(CCc2cccc(OC)c2)CC1)c1ccc(F)cc1";"IC50";"'='";"140.0";"nM";"6.85";"";"";"UO_0000065";"15.56";"0.29";"1.89";"16.49";"0";"CHEMBL1821177";"Inhibition of human Cav3.1 alpha1G expressed in HEK293 cells assessed as inhibition of calcium influx by FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1817645";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2011";"CHEMBL3307715";""
"CHEMBL45816";"MIBEFRADIL";"4";"495.64";"1";"5.27";"Mibefradil";"COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C";"IC50";"'='";"1340.0";"nM";"5.87";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL910266";"Ability to block calcium channel T type 3.1v expressed in HEK293 cells by whole cell patch clamp method";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148674";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"CHEMBL3307715";""
"CHEMBL374351";"";"0";"412.42";"0";"0.88";"1, KKHT10103";"O=C(NCCN1CCOCC1)c1ccc2c(=O)n(-c3ccc(F)cc3)c(=O)[nH]c2c1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1060568";"Antagonist activity against T-type calcium channel alpha1G";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152934";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2009";"None";""
"CHEMBL225543";"";"0";"398.51";"0";"2.41";"13, KKHT10613";"O=C(NCCN1CCCCC1)c1ccc2c(=O)n(C3CCCCC3)c(=O)[nH]c2c1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1060568";"Antagonist activity against T-type calcium channel alpha1G";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152934";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2009";"None";""
"CHEMBL223951";"";"0";"440.93";"0";"2.61";"16, KKHT10617";"O=C(NCCN1CCCCC1)c1ccc2c(=O)n(Cc3ccccc3Cl)c(=O)[nH]c2c1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL1060568";"Antagonist activity against T-type calcium channel alpha1G";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152934";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2009";"None";""
"CHEMBL225485";"";"0";"468.99";"0";"3.39";"18, KKHT11018";"CCC1CCCCN1CCNC(=O)c1ccc2c(=O)n(Cc3ccc(Cl)cc3)c(=O)[nH]c2c1";"IC50";"'='";"3380.0";"nM";"5.47";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1060568";"Antagonist activity against T-type calcium channel alpha1G";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4641";"Voltage-gated T-type calcium channel alpha-1G subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152934";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2009";"None";""
