"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1209968";"";"0";"473.48";"0";"4.63";"46a";"N#Cc1cccc(N2C(=O)C3(CCN(C(=O)Nc4cc(F)cc(F)c4)CC3)C2c2ccccn2)c1";"IC50";"'='";"247.0";"nM";"6.61";"";"";"UO_0000065";"13.95";"0.26";"1.98";"7.40";"0";"CHEMBL1212315";"Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208707";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307715";""
"CHEMBL1210081";"";"0";"433.93";"1";"5.70";"4";"CC(C)N1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1";"IC50";"'='";"328.0";"nM";"6.48";"";"";"UO_0000065";"14.94";"0.30";"0.78";"18.22";"0";"CHEMBL1212332";"Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208707";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307715";""
"CHEMBL403689";"";"0";"578.09";"2";"5.94";"17e";"CN(CC(=O)Nc1cccc(S(=O)(=O)N(Cc2ccccc2)c2cccc(Cl)c2)c1)C(=O)OCc1ccccc1";"IC50";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL947231";"Antagonist activity at human alpha1H T-type calcium channel expressed in HEK293 cells by patch clamp technique";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143108";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"CHEMBL3307715";""
"CHEMBL1210766";"";"0";"482.92";"1";"5.42";"44b";"O=C(Nc1cc(F)cc(F)c1)N1CCC2(CC1)C(=O)N(c1cccc(Cl)c1)C2c1ccccn1";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"13.87";"0.27";"1.28";"10.22";"0";"CHEMBL1212315";"Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208707";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307715";""
"CHEMBL1209968";"";"0";"473.48";"0";"4.63";"rac-48";"N#Cc1cccc(N2C(=O)C3(CCN(C(=O)Nc4cc(F)cc(F)c4)CC3)C2c2ccccn2)c1";"IC50";"'='";"2377.0";"nM";"5.62";"";"";"UO_0000065";"11.88";"0.22";"0.99";"6.30";"0";"CHEMBL1212315";"Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208707";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307715";""
"CHEMBL1210628";"";"0";"500.91";"2";"5.55";"40a";"O=C(Nc1ccc(F)c(F)c1)N1CCC2(CC1)C(=O)N(c1ccc(F)c(Cl)c1)C2c1ccccn1";"IC50";"'='";"17700.0";"nM";"4.75";"";"";"UO_0000065";"9.49";"0.19";"-0.80";"7.25";"0";"CHEMBL1212332";"Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208707";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307715";""
"CHEMBL3973288";"";"0";"387.48";"0";"3.69";"9b";"CC(C)Cc1cc(CNS(=O)(=O)c2cccc(F)c2)nn1-c1ccccc1";"IC50";"'='";"2080.0";"nM";"5.68";"";"";"UO_0000065";"14.66";"0.29";"1.99";"8.88";"0";"CHEMBL3872981";"Inhibition of Cav3.2 alpha1H (unknown origin) expressed in HEK293 cells by whole-cell patch clamp method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3872218";"1";"Scientific Literature";"Eur J Med Chem";"2016";"CHEMBL3307715";""
"CHEMBL45816";"MIBEFRADIL";"4";"495.64";"1";"5.27";"Mibefradil";"COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C";"IC50";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1273187";"Antagonist activity against T-type calcium channel subunit alpha-1H assessed as inactivation of channel current by cell based patch clamp assay";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1268989";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"None";""
"CHEMBL1210902";"";"0";"547.92";"2";"6.28";"52a";"O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2";"IC50";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"13.76";"0.27";"1.26";"11.57";"0";"CHEMBL1212315";"Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by Ionworks HT assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208707";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307715";""
"CHEMBL1210899";"";"0";"529.93";"2";"6.14";"50a";"O=C1N(c2cccc(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2";"IC50";"'='";"63.0";"nM";"7.20";"";"";"UO_0000065";"13.59";"0.27";"1.06";"11.06";"0";"CHEMBL1212332";"Inhibition of human CaV3.2 expressed in HEK293 cells at -100 mV membrane potential by whole cell path clamp method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208707";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3307715";""
"CHEMBL3890307";"";"0";"385.51";"0";"4.98";"35a";"C[C@H]1c2ccccc2N(Cc2ccccc2)CCN1C(=O)NCc1ccccc1";"IC50";"'='";"241.0";"nM";"6.62";"";"";"UO_0000065";"17.17";"0.31";"1.64";"18.60";"0";"CHEMBL3865204";"Channel blocking activity at recombinant human CaV 3.2 channel expressed in HEK293 cells assessed as inhibition of Ca2+ flux preincubated for 3 mins followed by CaCl2 addition by fluo-4 dye-based FLIPR assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1859";"Voltage-gated T-type calcium channel alpha-1H subunit";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3864167";"1";"Scientific Literature";"J Med Chem";"2016";"CHEMBL3307715";""
