"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1994308";"";"0";"436.82";"0";"4.71";"SID103905118";"O=C(CCC(=O)Nc1cc(C(F)(F)F)ccc1Cl)NN=Cc1c[nH]c2ccccc12";"Ki";"'>'";"3981.07";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963832";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: NTRK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4898";"Neurotrophic tyrosine kinase receptor type 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1974328";"";"0";"340.43";"0";"2.31";"SID103904806";"Cc1cccc(Nc2nc(NC3CCCCC3N)cnc2C(N)=O)c1";"Ki";"'='";"2511.89";"nM";"5.60";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963832";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: NTRK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4898";"Neurotrophic tyrosine kinase receptor type 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL509032";"TAE-684";"0";"614.22";"2";"5.02";"SID103904598";"COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1";"Ki";"'>'";"501.19";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963832";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: NTRK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4898";"Neurotrophic tyrosine kinase receptor type 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL2000429";"";"0";"468.51";"0";"4.35";"SID103904769";"CC(C)Oc1nccn2c(-c3ccnc(NCC(C)(C)CO)n3)c(-c3ccc(F)cc3F)nc12";"Ki";"'>'";"5011.87";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963832";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: NTRK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4898";"Neurotrophic tyrosine kinase receptor type 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1990254";"";"0";"317.39";"0";"3.18";"SID103904555";"NCC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1";"Ki";"'>'";"5011.87";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963832";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: NTRK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4898";"Neurotrophic tyrosine kinase receptor type 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1989805";"";"0";"380.39";"0";"0.01";"SID103905319";"N#CC1=C(N)n2c(sc(=Cc3ccco3)c2=O)=C(C(N)=O)C1c1ccco1";"Ki";"'>'";"5011.87";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963832";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: NTRK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4898";"Neurotrophic tyrosine kinase receptor type 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1983025";"";"0";"483.64";"1";"6.37";"SID103904302";"CCC(N)(C#Cc1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(C)c4)cc3)csc12)CC";"Ki";"'='";"630.96";"nM";"6.20";"";"active";"UO_0000065";"";"";"";"";"0";"CHEMBL1963832";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: NTRK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4898";"Neurotrophic tyrosine kinase receptor type 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1983945";"";"0";"383.45";"0";"3.64";"SID103904683";"NC(Cc1c[nH]c2ccccc12)C(=O)Nc1cncc(C=Cc2ccncc2)c1";"Ki";"'>'";"3981.07";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963832";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: NTRK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4898";"Neurotrophic tyrosine kinase receptor type 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL2002322";"";"0";"390.31";"1";"5.10";"SID103905048";"NC(=O)c1cc2c(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cncc2s1";"Ki";"'>'";"5011.87";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963832";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: NTRK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4898";"Neurotrophic tyrosine kinase receptor type 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL2003638";"";"0";"412.43";"0";"4.26";"SID103904514";"O=C(Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12)c1cccc(F)c1";"Ki";"'>'";"5011.87";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"0";"CHEMBL1963832";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: NTRK2";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4898";"Neurotrophic tyrosine kinase receptor type 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
