"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL211393";"";"None";"413.47";"0";"3.80";"23a";"CCN(CCCc1c[nH]c2ccc(F)cc12)[C@H]1COc2c(F)ccc(C(N)=O)c2C1";"IC50";"'='";"135.0";"nM";"6.87";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL864777";"Agonist activity at human 5HT1A receptor expressed in CHO cells by inhibition of 8-OH-DPAT-induced decrease in forskolin-stimulated cAMP production";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138933";"1";"Scientific Literature";"J Med Chem";"2006";"CHEMBL3308072";""
"CHEMBL19114";"";"None";"204.23";"0";"1.03";"1 (benzofuran)";"NCCc1coc2ccc(C(N)=O)cc12";"IC50";"'='";"4.571";"nM";"8.34";"";"";"UO_0000065";"40.84";"0.76";"7.31";"10.14";"0";"CHEMBL873463";"In Vitro Binding affinity againist 5-HT1A receptor by displacing [3H]8-OH-DPAT from pig cortex";"B";"BAO_0000019";"assay format";"Sus scrofa";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127719";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";""
"CHEMBL4591601";"";"None";"533.46";"1";"4.51";"13";"COc1ccc(/C=C2\NC(=O)N(CCCCN3CCN(c4cccc(Cl)c4Cl)CC3)C2=O)cc1OC";"IC50";"'='";"39.0";"nM";"7.41";"";"";"UO_0000065";"13.89";"0.28";"2.90";"9.96";"0";"CHEMBL4343033";"Antagonist activity at human recombinant 5-HT1A receptor expressed in CHOK1 cells incubated for 25 mins followed by addition of methiothepin by microbeta2 scintillation counter";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4342411";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";""
"CHEMBL329207";"";"None";"298.39";"0";"2.26";"26";"c1ccc2c(c1)CCC(CNCCCNc1ccncn1)O2";"IC50";"'='";"5.012";"nM";"8.30";"";"";"UO_0000065";"27.82";"0.52";"6.04";"14.05";"0";"CHEMBL616214";"Ability to bind to 5-hydroxytryptamine 1A receptor from cloned human expressed in Ha7 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Ha7";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1128632";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1995";"None";""
"CHEMBL275008";"";"None";"243.35";"0";"2.67";"(+)-8b";"C=CCN1CC[C@H]2Cc3c(cccc3OC)C[C@@H]21";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL615587";"Inhibitory concentration against [3H]8-OH-DPAT-labeled 5-hydroxytryptamine 1A receptor sites in bovine hippocampus";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638273";"Hippocampus";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126639";"1";"Scientific Literature";"J Med Chem";"1993";"None";""
"CHEMBL65212";"";"None";"255.35";"0";"3.32";"11a";"C1=CCN(c2nc3ccsc3n3cccc23)CC1";"IC50";"'='";"457088.19";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL615580";"Binding affinity for 5-hydroxytryptamine 1A receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129317";"1";"Scientific Literature";"J Med Chem";"1996";"None";""
"CHEMBL293879";"";"None";"344.44";"0";"2.23";"24a";"CCOC(=O)CN1CCN(c2nc3ccsc3n3cccc23)CC1";"IC50";"'='";"257.04";"nM";"6.59";"";"";"UO_0000065";"19.13";"0.38";"4.36";"13.16";"0";"CHEMBL615580";"Binding affinity for 5-hydroxytryptamine 1A receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129317";"1";"Scientific Literature";"J Med Chem";"1996";"None";""
"CHEMBL66540";"";"None";"424.57";"1";"5.54";"13c";"c1ccc(CN2CCN(c3nc4cc(-c5ccccc5)sc4n4cccc34)CC2)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL615580";"Binding affinity for 5-hydroxytryptamine 1A receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129317";"1";"Scientific Literature";"J Med Chem";"1996";"None";""
"CHEMBL63845";"";"None";"402.45";"0";"4.89";"8b";"FC(F)(F)c1cccc(N2CCN(c3nc4sccc4n4cccc34)CC2)c1";"IC50";"'='";"12589.25";"nM";"4.90";"";"";"UO_0000065";"12.18";"0.24";"0.01";"20.61";"0";"CHEMBL615580";"Binding affinity for 5-hydroxytryptamine 1A receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129317";"1";"Scientific Literature";"J Med Chem";"1996";"None";""
"CHEMBL1829961";"";"None";"260.68";"0";"2.57";"5";"Nc1nc(Cl)ncc1-c1c[nH]c2cccc(O)c12";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1831562";"Displacement of [3H]8-OH-DPAT from 5-HT1A receptor after 1.5 hrs by scintillation counting";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL214";"Serotonin 1a (5-HT1a) receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1828602";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";""
