"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL418650";"";"None";"270.33";"0";"0.51";"7q";"N[C@]1(C(=O)O)C[C@H](C(=O)O)N(CC2CCCCC2)C1";"IC50";"'>'";"300000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL718348";"In vitro antagonist activity at recombinant human Metabotropic glutamate receptor 3 expressed in RGT cells.";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"RGT";"None";"";"";"";"CHEMBL2888";"Metabotropic glutamate receptor 3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130904";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";"";""
"CHEMBL192977";"";"None";"199.21";"0";"-0.24";"5";"C[C@@H]1C[C@H]2[C@H](C(=O)O)[C@H]2[C@]1(N)C(=O)O";"IC50";"'='";"9830.0";"nM";"5.01";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL836553";"Evaluation of the functional effect on cAMP responses in RGT cells expressing human mGlu3 receptor";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"RGT";"None";"";"";"";"CHEMBL2888";"Metabotropic glutamate receptor 3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139514";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL2381651";"";"None";"293.34";"0";"1.28";"19e";"N[C@@]1(C(=O)O)C[C@H](Sc2ccccc2)[C@H]2[C@H](C(=O)O)[C@H]21";"IC50";"'='";"3370.0";"nM";"5.47";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2382648";"Antagonist activity at human mGlu3 receptor expressed in golden Syrian hamster AV12 cells coexpressing EAAT1 assessed as inhibition of forskolin-stimulated cAMP production after 20 mins by HTRF assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"AV12";"None";"";"";"";"CHEMBL2888";"Metabotropic glutamate receptor 3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2380209";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";""
"CHEMBL2311086";"";"None";"339.39";"0";"2.71";"109";"N[C@@](CC(c1ccccc1)c1ccccc1)(C(=O)O)[C@H]1C[C@@H]1C(=O)O";"IC50";"'='";"280.0";"nM";"6.55";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL718352";"Ability to block 1S,3R-ACPD-induced inhibition of forskolin stimulated cyclic-AMP in non-neuronal cell line expressing human Metabotropic glutamate receptor 3";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2888";"Metabotropic glutamate receptor 3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131459";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL4445682";"";"None";"448.40";"0";"4.22";"7d; VU6012962";"COc1cc(C(=O)Nc2cc(OC(F)(F)F)ccc2-n2cncn2)ccc1OCC1CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4423458";"Negative allosteric modulation of mGlu3 receptor (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2888";"Metabotropic glutamate receptor 3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4422629";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";""
"CHEMBL124483";"";"None";"279.29";"0";"0.83";"118";"N[C@@](CCc1cccc(O)c1)(C(=O)O)C1C[C@@H]1C(=O)O";"IC50";"'='";"260.0";"nM";"6.58";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL718350";"Effect on 1S,3R-ACPD-induced inhibition of forskolin stimulated cyclic-AMP in RGT cells expressing human Metabotropic glutamate receptor 3";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"RGT";"None";"";"";"";"CHEMBL2888";"Metabotropic glutamate receptor 3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131460";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL1688377";"";"None";"331.49";"0";"3.01";"20c";"O=C(N1CCN(c2nccs2)CC1)C12CC3CC(CC(C3)C1)C2";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1786298";"Inhibition of mGluR3";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2888";"Metabotropic glutamate receptor 3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1781871";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";""
"CHEMBL338282";"";"None";"281.28";"0";"1.26";"97";"N[C@@](CCc1ccc(F)cc1)(C(=O)O)C1C[C@@H]1C(=O)O";"IC50";"'='";"210.0";"nM";"6.68";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL718350";"Effect on 1S,3R-ACPD-induced inhibition of forskolin stimulated cyclic-AMP in RGT cells expressing human Metabotropic glutamate receptor 3";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"RGT";"None";"";"";"";"CHEMBL2888";"Metabotropic glutamate receptor 3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131460";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";""
"CHEMBL60008";"";"None";"298.73";"0";"0.78";"7e";"N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2cccc(Cl)c2)C1";"IC50";"'>'";"300000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL718348";"In vitro antagonist activity at recombinant human Metabotropic glutamate receptor 3 expressed in RGT cells.";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"RGT";"None";"";"";"";"CHEMBL2888";"Metabotropic glutamate receptor 3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130904";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";"";""
"CHEMBL3616854";"";"None";"284.30";"0";"-0.60";"16a";"N[C@@]1(C(=O)O)C[C@H](Sc2nnc[nH]2)[C@H]2[C@H](C(=O)O)[C@H]21";"IC50";"'='";"4260.0";"nM";"5.37";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3619412";"Antagonist activity at human recombinant mGlu3 receptor expressed in AV12 cells assessed as reversal of DCG-4-inhibited, forskolin-stimulated cAMP production after 1 hr by fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"AV12";"None";"";"";"";"CHEMBL2888";"Metabotropic glutamate receptor 3";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3616378";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";""
